,ID,Latitude,Longitude,LandUse,CDensity,SpeRichness
1,2,370472,973217,Bosque,175.6994949,35
2,3,370509,973226,Bosque,97.75122042,33
3,4,370704,973264,Rastrojo,48.97607242,47
4,5,370751,973217,Rastrojo,22.80052755,23
5,10,371127,974658,Cultivo,26.65064462,56
6,11,371188,974666,Cultivo,23.34572686,32
7,12,371144,974844,Cultivo,82.76625503,28
8,13,371207,974841,Rastrojo,56.30096697,19
9,14,371823,973815,Bosque_Intervenido,204.4275834,48
10,15,371789,973812,Bosque,94.56425321,34
11,17,371572,973847,Bosque_Intervenido,70.91946678,56
12,18,371532,973836,Bosque_Intervenido,132.9052969,38
13,24,370584,973179,Rastrojo,38.86819113,18
14,25,370573,973144,Rastrojo,21.62485684,9
15,26,370563,973023,Rastrojo,20.36805781,23
16,27,370556,972983,Rastrojo,56.89970368,55
17,29,372451,973756,Rastrojo,89.94823163,46
18,30,372524,973861,Bosque_Intervenido,93.96920004,56
19,31,372565,973876,Rastrojo,16.32092584,28
20,33,373528,974083,Derrumbe,0.346146031,1
21,34,373529,974044,Bosque_Intervenido,168.140755,33
22,35,373563,973918,Rastrojo,156.6284353,41
23,36,373561,973868,Rastrojo,53.49478008,41
24,37,371055,974909,Rastrojo,1.43290842,10
25,38,371092,974937,Rastrojo,46.80010883,24
26,39,371221,974977,Rastrojo,28.96788925,38
27,40,371221,975027,Rastrojo,27.79181522,48
28,41,371374,975132,Cultivo,9.954925279,46
29,42,371383,975167,Cultivo,14.93521667,39
30,43,371423,975297,Cultivo,4.682447139,34
31,44,371455,975287,Cultivo,6.869491125,44
32,45,371599,975185,Cultivo,18.57120546,30
33,46,371587,975155,Cultivo,84.81079674,52
34,47,371647,975045,Cultivo,18.74585758,87
35,48,371666,974990,Cultivo,5.821125209,65
36,51,371833,975451,Bosque,75.91933147,60
37,52,371822,975385,Bosque,194.0355559,27
38,53,371884,975314,Bosque,70.68066566,37
39,54,371892,975360,Bosque,104.0969895,60
40,55,371969,974095,Rastrojo,31.32140155,54
41,56,372017,974081,Rastrojo,213.1000603,38
42,57,372195,974094,Rastrojo,31.99747727,60
43,58,372211,974082,Rastrojo,56.06739152,34
44,59,372413,973619,Cultivo,15.06562805,50
45,60,372406,973581,Bosque_Intervenido,49.70368842,44
46,61,372399,973458,Bosque_Intervenido,98.27148224,62
47,62,372401,973406,Bosque_Intervenido,69.61067554,62
48,63,371789,974796,Rastrojo,56.71447191,39
49,64,371817,974763,Rastrojo,71.3907208,56
50,65,371888,974659,Rastrojo,111.702309,39
51,66,371884,974616,Rastrojo,132.7793812,56
52,67,372088,974252,Bosque,26.52601146,28
53,68,372074,974197,Bosque,99.91355042,57
54,69,372097,974134,Bosque_Intervenido,42.0243849,61
55,70,372135,974155,Bosque,91.57590624,54
56,71,370870,974866,Rastrojo,72.92953804,45
57,72,370902,974835,Bosque_Intervenido,164.078256,40
58,73,370997,974793,Rastrojo,12.57614446,28
59,74,371009,974747,Rastrojo,27.79212271,38
60,75,371036,975543,Rastrojo,144.7303001,35
61,76,371060,975590,Bosque,83.39336888,68
62,77,371032,975720,Rastrojo,9.145533538,29
63,78,371013,975746,Rastrojo,20.20285346,43
64,79,373889,974019,Bosque,73.30496705,41
65,80,373840,974124,Bosque,96.73336197,47
66,81,373837,974161,Bosque,68.67873759,48
67,82,373873,973970,Rastrojo,83.60907824,55
68,83,371523,975575,Rastrojo,37.06574143,41
69,84,371506,975620,Rastrojo,74.75461218,25
70,85,371537,975455,Bosque,97.2384732,39
71,86,371542,975417,Bosque,123.6514002,14
72,87,370314,975567,Potrero,2.904865798,4
73,88,370303,975527,Potrero,7.820877834,6
74,89,370306,975408,Potrero,36.47629716,16
75,90,370307,975368,Potrero,97.02669777,22
76,91,370825,974229,Bosque,50.66085288,43
77,92,370802,974243,Bosque,37.49953423,27
78,93,370990,974239,Bosque_Intervenido,69.02674064,39
79,94,370970,974296,Bosque_Intervenido,14.62777013,41
80,189,371306,973968,Rastrojo,5.143933588,6
81,190,371258,973952,Rastrojo,14.90133839,20
82,191,371268,973830,Bosque_Intervenido,74.59854141,82
83,192,371217,973824,Bosque_Intervenido,21.28731514,67
84,193,371279,974592,Rastrojo,43.10904525,38
85,195,371316,974592,Rastrojo,19.54877377,29
86,198,371318,974757,Cultivo,40.13056649,53
87,199,371351,974802,Cultivo,45.39883582,64
88,200,371860,974472,Cultivo,126.6449446,40
89,201,371905,974437,Cultivo,19.62859367,52
90,202,371907,974273,Cultivo,8.181515164,56
91,203,371864,974277,Rastrojo,45.39645752,33
92,206,371137,974257,Cultivo,10.77106203,89
93,207,371179,974274,Cultivo,5.019450568,47
94,208,371219,974399,Rastrojo,22.68512475,38
95,209,371218,974436,Rastrojo,5.609460697,12
96,210,371061,974027,Rastrojo,8.802451297,23
97,212,372048,974056,Rastrojo,30.38013037,41
98,213,372060,974198,Rastrojo,89.74616855,47
99,214,372066,974235,Bosque,53.93334409,34
100,219,370544,973224,Bosque,164.9964567,33
101,220,370500,973214,Bosque,48.64177307,38
102,221,370382,973198,Bosque,118.6834267,49
103,222,370344,973187,Bosque,50.70031171,34
104,225,370870,972771,Bosque,209.0129854,44
105,226,370953,972805,Bosque,126.2154067,42
106,227,371083,972868,Bosque,122.98688,33
107,228,371093,972803,Bosque,156.0132766,40
108,230,372532,973700,Bosque_Intervenido,94.49943507,33
109,231,372611,973664,Rastrojo,100.1007121,26
110,232,372607,973564,Rastrojo,57.92741633,26
111,233,372382,973602,Rastrojo,195.1918623,19
112,234,372421,973640,Rastrojo,146.2904306,22
113,235,370654,973460,Cultivo,16.05830818,18
114,236,370738,973393,Rastrojo,27.47044068,33
115,237,370825,973471,Rastrojo,21.39860601,38
116,238,370802,973515,Rastrojo,17.47354894,34
117,239,371718,973162,Bosque,144.9550461,27
118,240,371905,973562,Bosque,211.5811641,29
119,241,371680,973491,Rastrojo,78.48209703,43
120,242,371745,973584,Rastrojo,30.64842122,24
121,244,372073,974645,Rastrojo,31.15111627,35
122,245,372121,974657,Bosque,64.18002816,44
123,246,371910,974635,Rastrojo,74.82888024,41
124,247,371867,974640,Bosque,96.35074592,28
125,248,373333,974105,Bosque,86.42746162,36
126,249,373344,974144,Bosque,56.81677408,20
127,250,373501,974035,Bosque,326.5055763,27
128,251,373486,974001,Rastrojo,30.94833961,37
129,252,373789,973968,Rastrojo,21.22676791,31
130,253,373792,974001,Rastrojo,15.92993718,33
131,254,373753,974129,Bosque,82.42191562,48
132,255,373781,974202,Bosque,132.4189041,39
133,256,371595,974672,Bosque,623.3874333,42
134,257,371607,974704,Bosque,21.27360661,35
135,258,371647,974799,Bosque,180.2514093,42
136,259,371583,974860,Bosque,150.5445147,53
137,260,372097,975084,Rastrojo,15.64428622,31
138,261,372109,975046,Rastrojo,21.0271509,22
139,262,372132,974914,Rastrojo,228.993483,38
140,263,372033,974909,Rastrojo,44.05947705,46
141,264,371901,975175,Bosque,96.9286276,39
142,265,371927,975153,Bosque,45.56303478,24
143,266,371980,975240,Bosque,35.47422964,22
144,267,371986,975329,Bosque,75.89790224,57
145,274,373288,974499,Bosque,88.61038447,39
146,275,371243,974071,Bosque,47.41757101,33
147,276,373334,974376,Bosque,71.84851633,29
148,279,373331,974322,Bosque,73.92367768,31
149,280,371513,973719,Bosque,70.57254257,18
150,281,371439,973727,Bosque,264.4568351,36
151,282,371420,973716,Bosque,106.8134584,42
152,283,371215,973698,Bosque,169.5039487,51
153,284,371592,975711,Bosque,65.14837347,52
154,285,371567,975570,Bosque,30.49179124,38
155,286,371628,975651,Bosque,61.51754956,46
156,287,371600,975722,Bosque,55.0984108,50
157,288,371072,974338,Bosque_Intervenido,33.44408121,36
158,289,371036,974337,Bosque_Intervenido,96.99971989,13
159,290,370920,974360,Bosque,217.1869106,39
160,291,370936,974397,Bosque,85.93954835,31
161,292,371661,974543,Bosque,289.5458967,50
162,293,371582,974496,Bosque,56.64762177,20
163,294,371675,974558,Bosque_Intervenido,18.26184676,30
164,295,371673,974593,Bosque_Intervenido,33.94537339,42
165,297,372023,975329,Bosque,77.28747863,44
166,298,372017,975380,Bosque,81.66609484,54
167,299,372050,975488,Bosque,90.82124372,35
168,300,372011,975522,Bosque,110.2846728,32
169,301,373440,975064,Rastrojo,8.598397266,19
170,302,373398,975093,Rastrojo,27.93373282,42
171,303,373241,975013,Bosque,125.7749265,27
172,304,373239,974946,Bosque,131.8287199,34
173,305,373079,973380,Bosque,62.43505755,35
174,306,373003,973473,Bosque,61.93526636,32
175,307,372988,973564,Bosque,416.7245673,37
176,308,373097,973736,Bosque_Intervenido,17.22076068,23
177,309,372406,973012,Rastrojo,38.08205351,24
178,310,372411,973049,Rastrojo,8.368760133,26
179,311,372262,973178,Bosque,111.2363828,19
180,312,372267,973236,Rastrojo,145.6147026,35
181,322,372130,975390,Rastrojo,57.86657058,37
182,323,372030,975338,Rastrojo,33.67070971,32
183,324,372044,975263,Bosque,53.22906061,30
184,325,372068,975227,Bosque,40.78145674,40
185,326,370862,974245,Bosque,39.06933537,21
186,327,370888,974262,Bosque,26.69256252,27
187,328,370790,974324,Rastrojo,34.29253027,32
188,329,370796,974325,Rastrojo,54.80967325,38
