GPS,ID,NTree_esp,NTree_ngo,Name_Tree,Dead,Diameter,Circ,DBH,Use,Type,HeightDead,PDM
40,6246,,URANA,URANA,FALSE,,15,4.8,,A,,
77,6859,UNKNOWN,,UNKNOWN,FALSE,,15,4.8,,A,,
67,5903,,URRARRA,CRIOLLO,FALSE,,15.1,4.8,"Firewood, Lumber",A,,
69,5926,AGUACATE_DE_MONTANA,,AGUACATE_MONTANA,FALSE,,15.1,4.8,"Firewood, Lumber",A,,
92,6752,PALO_BLANCO,,PALO_BLANCO,FALSE,,15.1,4.8,,A,,
70,5933,GUAYABA,,GUAYABA,FALSE,,15.1,4.8,"Firewood, Lumber",A,,
78,6863,,DORAKRIE,DORAKRIE,FALSE,,15.1,4.8,,A,,
66,5965,CHONTA,,CHONTA,FALSE,,15.1,4.8,,P,,
64,5949,,CHICHICA,PALMITO,FALSE,,15.1,4.8,,P,,
74,5849,CARANA_EDIONDO,,CARANA_EDIONDO,FALSE,,15.1,4.8,,A,,
82,6827,,NOMA,MAMEY,FALSE,,15.1,4.8,,A,,
46,6315,CEDRO,,CEDRO,FALSE,,15.1,4.8,,A,,
72,5833,BEJUCO,,BEJUCO,FALSE,,15.2,4.8,,B,,
72,5834,PALO_CACAO,,PALO_CACAO,FALSE,,15.2,4.8,"Firewood, Construction",A,,
92,6753,PALO_BLANCO,,PALO_BLANCO,FALSE,,15.2,4.8,,A,,
73,5845,HELECHO,,HELECHO,FALSE,,15.2,4.8,,H,,
66,5964,,URANA,URANA,FALSE,,15.3,4.9,,A,,
91,6746,PALO_BLANCO,,PALO_BLANCO,FALSE,,15.3,4.9,,A,,
45,6305,GUABO,,GUABO,FALSE,,15.3,4.9,,A,,
55,6034,PALO_BLANCO,,PALO_BLANCO,FALSE,,15.3,4.9,,A,,
55,6037,PALO_BLANCO,,PALO_BLANCO,FALSE,,15.4,4.9,,A,,
57,6062,GUANABANA,,GUANABANA,FALSE,,15.4,4.9,,A,,
58,6073,UNKNOWN,,UNKNOWN,FALSE,,15.4,4.9,,A,,
85,6795,PALO_BLANCO,,PALO_BLANCO,FALSE,,15.4,4.9,,A,,
51,6119,PALO_BLANCO,,PALO_BLANCO,FALSE,,15.4,4.9,,A,,
80,6812,BEJUCO,,BEJUCO,FALSE,,15.4,4.9,,B,,
80,6809,BEJUCO,,BEJUCO,FALSE,,15.4,4.9,,B,,
76,6842,CANELA,,CANELA,FALSE,,15.4,4.9,,A,,
45,6304,GUABO,,GUABO,FALSE,,15.5,4.9,,A,,
40,6243,,URANA,URANA,FALSE,,15.5,4.9,,A,,
60,5992,,URANA,URANA,FALSE,,15.5,4.9,,A,,
40,6254,,URANA,URANA,FALSE,,15.5,4.9,,A,,
5,6439,,URANA,URANA,FALSE,5,,5,,A,,
5,6448,HUESITO,,HUESITO,FALSE,5,,5,,A,,
329,6894,,URANA,URANA,FALSE,5,,5,,A,,
225,6460,BAMBU,,BAMBU,FALSE,5,,5,Poste,T,,
324,6915,BATEO,,BATEO,FALSE,5,,5,,A,,
208,6667,HUESITO,,HUESITO,FALSE,5,,5,,A,,
248,6154,PALO_LIMON,,PALO_LIMON,FALSE,5,,5,,A,,
328,6877,GUABO,,GUABO,FALSE,5,,5,,A,,
234,6501,,KUGAKRIE,KUGAKRIE,FALSE,5,,5,,A,,
225,6458,GUAYABA,,GUAYABA,FALSE,5,,5,,A,,
206,6649,BANANO,,BANANO,FALSE,5,,5,,T,,
225,6459,,NOMA,MAMEY,FALSE,5,,5,,A,,
240,6610,PALO_CREMA,,PALO_CREMA,FALSE,5,,5,Firewood,A,,
27,6476,,URANA,URANA,FALSE,5,,5,,A,,
193,6995,PALO_BLANCO,,PALO_BLANCO,FALSE,5,,5,,A,,
199,7020,BANANO,,BANANO,FALSE,5,,5,,T,,
191,6718,UNKNOWN,,UNKNOWN,FALSE,5,,5,,A,,
195,6997,PALO_BLANCO,,PALO_BLANCO,FALSE,5.1,,5.1,,A,,
240,6612,MIGUELARIO,,MIGUELARIO,FALSE,5.1,,5.1,,A,,
220,6397,LAUREL,,LAUREL,FALSE,5.1,,5.1,,A,,
208,6678,HUESITO,,HUESITO,FALSE,5.1,,5.1,,A,,
322,6901,PALO_TUNA,,PALO_TUNA,FALSE,5.1,,5.1,,A,,
328,6879,GOMA,,GOMA,FALSE,5.1,,5.1,,A,,
329,6886,CUCHARON,,CUCHARON,FALSE,5.1,,5.1,,A,,
291,5880,CEDRILLO,,CEDRILLO,FALSE,5.1,,5.1,,A,,
323,6903,PENIERO,,PENIERO,FALSE,5.1,,5.1,,A,,
287,6087,PALMITO,,PALMITO,FALSE,5.1,,5.1,,P,,
323,6905,HUESITO,,HUESITO,FALSE,5.1,,5.1,,A,,
40,6245,,URANA,URANA,FALSE,,15.9,5.1,,A,,
40,6251,,URANA,URANA,FALSE,,16,5.1,,A,,
36,6196,CHICHICA,,CHICHICA,FALSE,,16,5.1,,P,,
35,6188,CHICHICA,,CHICHICA,FALSE,,16,5.1,Medicine,P,,
80,6806,,URANA,URANA,FALSE,,16.1,5.1,,A,,
85,6790,,OROBAKRIE,PALO_CACAO,FALSE,,16.1,5.1,,A,,
66,5971,,URANA,URANA,FALSE,,16.1,5.1,,A,,
63,5944,HELECHO,BIGI,HELECHO,FALSE,,16.1,5.1,,H,,
327,6873,TIN,,TIN,FALSE,5.2,,5.2,,A,,
301,6974,HELECHO,,HELECHO,FALSE,5.2,,5.2,,H,,
245,6625,,URANA,URANA,FALSE,5.2,,5.2,,A,,
301,6975,HELECHO,,HELECHO,FALSE,5.2,,5.2,,H,,
298,5802,PALMITO,,PALMITO,FALSE,5.2,,5.2,Consumption,P,,
210,6688,PALO_TUNA,,PALO_TUNA,FALSE,5.2,,5.2,,A,,
193,6988,PALO_BLANCO,,PALO_BLANCO,FALSE,5.2,,5.2,,A,,
27,6475,,URANA,URANA,FALSE,5.2,,5.2,,A,,
309,6927,BANANO,,BANANO,FALSE,5.2,,5.2,,T,,
214,6701,HUESITO,,HUESITO,FALSE,5.2,,5.2,,A,,
200,7033,BANANO,,BANANO,FALSE,5.2,,5.2,,T,,
238,6559,,URANA,URANA,FALSE,5.2,,5.2,,A,,
5,6446,HUESITO,,HUESITO,FALSE,5.2,,5.2,,A,,
198,7012,BANANO,,BANANO,FALSE,5.2,,5.2,,T,,
299,5805,GUABO,,GUABO,FALSE,5.2,,5.2,Firewood,A,,
80,6811,,IBLUROKRIE,IBLUROKRIE,FALSE,,16.2,5.2,,A,,
94,6778,PALO_SANTO,,PALO_SANTO,FALSE,,16.2,5.2,,A,,
74,5857,,KRUBEKRIE,KRUBEKRIE,FALSE,,16.2,5.2,"Wood, Firewood, Construction",A,,
64,5947,,URANA,URANA,FALSE,,16.3,5.2,,A,,
66,5976,HELECHO,,HELECHO,FALSE,,16.3,5.2,,H,,
81,6818,PALO_BLANCO,,PALO_BLANCO,FALSE,,16.3,5.2,,A,,
55,6033,FRUTA_PAN,BRETE,FRUTA_PAN,FALSE,,16.4,5.2,,A,,
68,5914,,URANA,URANA,FALSE,,16.4,5.2,"Firewood, Lumber",A,,
55,6035,PALO_BLANCO,,PALO_BLANCO,FALSE,,16.4,5.2,,A,,
75,6832,UNKNOWN,,UNKNOWN,FALSE,,16.4,5.2,,A,,
57,6048,,URANA Nuen,URANA,FALSE,,16.4,5.2,,A,,
83,6782,,WINGUI,PALO_CAFORIN,FALSE,,16.4,5.2,,A,,
64,5957,PALO_BLANCO,,PALO_BLANCO,FALSE,,16.4,5.2,,A,,
93,6760,GUABO,,GUABO,FALSE,,16.4,5.2,,A,,
15,6590,CHONTA,,CHONTA,FALSE,5.3,,5.3,,P,,
31,6524,ARBUSTO,,UNKNOWN,FALSE,5.3,,5.3,,Ar,,
245,6626,,URANA,URANA,FALSE,5.3,,5.3,,A,,
214,6709,MIGUELARIO,,MIGUELARIO,FALSE,5.3,,5.3,,A,,
258,6290,GUAYABA,,GUAYABA,FALSE,5.3,,5.3,,A,,
262,6356,BALSO,,BALSO,FALSE,5.3,,5.3,,A,,
76,6845,GUANABANA,,GUANABANA,FALSE,,16.6,5.3,,A,,
251,6168,GUAYABA,,GUAYABA,FALSE,5.4,,5.4,,A,,
274,6139,HUESITO,,HUESITO,FALSE,5.4,,5.4,,A,,
276,6145,GUAYABA,,GUAYABA,FALSE,5.4,,5.4,,A,,
10,6573,BANANO,,BANANO,FALSE,5.4,,5.4,,T,,
280,6090,MEMBRILLO,,MEMBRILLO,FALSE,5.4,,5.4,,A,,
325,6920,,NOWATAKRIE,NOWATAKRIE,FALSE,5.4,,5.4,,A,,
309,6929,CRIOLLO,,CRIOLLO,FALSE,5.4,,5.4,,A,,
10,6564,BANANO,,BANANO,FALSE,5.4,,5.4,,T,,
329,6891,GOMA,,GOMA,FALSE,5.4,,5.4,,A,,
297,5787,COFAL,UTRA,COFAL,FALSE,5.4,,5.4,Firewood,A,,
323,6908,HUESITO,,HUESITO,FALSE,5.4,,5.4,,A,,
249,6163,,URANA,URANA,FALSE,5.4,,5.4,,A,,
310,6941,HUESITO,,HUESITO,FALSE,5.4,,5.4,,A,,
27,6473,GUAYABA,,GUAYABA,FALSE,5.4,,5.4,,A,,
17,6598,,URANA,URANA,FALSE,5.4,,5.4,,A,,
283,6111,HUESITO,,HUESITO,FALSE,5.4,,5.4,,A,,
208,6669,HUESITO,,HUESITO,FALSE,5.4,,5.4,,A,,
206,6646,BANANO,,BANANO,FALSE,5.4,,5.4,,T,,
246,6632,PALMITO,,PALMITO,FALSE,5.4,,5.4,,P,,
40,6255,,URANA,URANA,FALSE,,17,5.4,,A,,
33,6172,PALO_BLANCO,,PALO_BLANCO,FALSE,,17,5.4,,A,,
43,6274,UNKNOWN,,UNKNOWN,FALSE,,17,5.4,,A,,
52,6126,COFAL,,COFAL,FALSE,,17,5.4,,A,,
40,6252,,URANA,URANA,FALSE,,17,5.4,,A,,
44,6276,PALO_BLANCO,,PALO_BLANCO,FALSE,,17,5.4,,A,,
35,6187,CARANA_EDIONDO,,CARANA_EDIONDO,FALSE,,17,5.4,,A,,
39,6235,HUESITO,,HUESITO,FALSE,,17,5.4,,A,,
35,6184,GUABO,,GUABO,FALSE,,17,5.4,,A,,
59,5987,CEDRO,,CEDRO,FALSE,,17.1,5.4,,A,,
74,5855,CHICHICA,,CHICHICA,FALSE,,17.1,5.4,,A,,
10,6563,BANANO,,BANANO,FALSE,5.5,,5.5,,T,,
206,6637,BANANO,,BANANO,FALSE,5.5,,5.5,,T,,
237,6550,HUESITO,,HUESITO,FALSE,5.5,,5.5,,A,,
237,6545,HUESITO,,HUESITO,FALSE,5.5,,5.5,,A,,
292,5887,,URANA,URANA,FALSE,5.5,,5.5,,A,,
295,5900,PENIERO,,PENIERO,FALSE,5.5,,5.5,Firewood,A,,
235,6537,CEDRILLO,,CEDRILLO,FALSE,5.5,,5.5,,A,,
214,6706,HUESITO,,HUESITO,FALSE,5.5,,5.5,,A,,
295,5902,BATEO,,BATEO,FALSE,5.5,,5.5,Lumber,A,,
213,6700,HUESITO,,HUESITO,FALSE,5.5,,5.5,,A,,
326,6865,HUESITO,,HUESITO,FALSE,5.5,,5.5,,A,,
10,6571,BANANO,,BANANO,FALSE,5.5,,5.5,,T,,
328,6883,PALMITO,,PALMITO,FALSE,5.5,,5.5,,P,,
291,5879,PALO_JARDIN,,PALO_JARDIN,FALSE,5.5,,5.5,,A,,
290,5875,MIGUELARIO,,MIGUELARIO,FALSE,5.5,,5.5,,A,,
213,6698,CRIOLLO,,CRIOLLO,FALSE,5.5,,5.5,,A,,
291,5883,,URANA,URANA,FALSE,5.5,,5.5,,A,,
292,5891,PALO_AGUA,,PALO_AGUA,FALSE,5.5,,5.5,,A,,
292,5893,PALO_AGUA,,PALO_AGUA,FALSE,5.5,,5.5,,A,,
327,6875,CEIBO,,CEIBO,FALSE,5.5,,5.5,,A,,
286,6078,COFAL,,COFAL,FALSE,5.5,,5.5,,A,,
290,5878,COFAL,,COFAL,FALSE,5.5,,5.5,,A,,
221,6407,GUANABANA,,GUANABANA,FALSE,5.5,,5.5,,A,,
265,6370,,ABONA,ABONA,FALSE,5.5,,5.5,,A,,
265,6372,,URANA,URANA,FALSE,5.5,,5.5,,A,,
265,6373,COFAL,,COFAL,FALSE,5.5,,5.5,,A,,
193,6987,PALO_SANTO,,PALO_SANTO,FALSE,5.5,,5.5,,A,,
266,6376,HUESITO,,HUESITO,FALSE,5.5,,5.5,,A,,
267,6379,GUAYABA,,GUAYABA,FALSE,5.5,,5.5,,A,,
225,6455,BATEO,,BATEO,FALSE,5.5,,5.5,,A,,
325,6921,CRIOLLO,,CRIOLLO,FALSE,5.5,,5.5,,A,,
259,6295,PALO_CARNE,NGRIKRIE,PALO_CARNE,FALSE,5.5,,5.5,Firewood,A,,
235,6536,PALO_TUNA,,PALO_TUNA,FALSE,5.5,,5.5,,A,,
301,6970,HELECHO,,HELECHO,FALSE,5.5,,5.5,,H,,
222,6418,DEAD,,UNKNOWN,TRUE,5.5,,5.5,,A,,
308,6966,,DORAKRIE,DORAKRIE,FALSE,5.5,,5.5,,A,,
307,6962,,DORAKRIE,DORAKRIE,FALSE,5.5,,5.5,,A,,
306,6959,,URANA,URANA,FALSE,5.5,,5.5,,A,,
219,6390,,URANA,URANA,FALSE,5.5,,5.5,,A,,
253,6212,,URANA,URANA,FALSE,5.5,,5.5,,A,,
253,6214,,URANA,URANA,FALSE,5.5,,5.5,,A,,
253,6216,,URANA,URANA,FALSE,5.5,,5.5,,A,,
253,6218,,URANA,URANA,FALSE,5.5,,5.5,,A,,
253,6219,,URANA,URANA,FALSE,5.5,,5.5,,A,,
254,6220,PALO_TUNA,,PALO_TUNA,FALSE,5.5,,5.5,,A,,
294,7049,,DORAKRIE,DORAKRIE,FALSE,5.5,,5.5,,A,,
195,7002,AMARILLO,,AMARILLO,FALSE,5.5,,5.5,,A,,
254,6224,TIN,,TIN,FALSE,5.5,,5.5,,A,,
195,7007,GUANABANA,,GUANABANA,FALSE,5.5,,5.5,,A,,
253,6208,,URANA,URANA,FALSE,5.5,,5.5,,A,,
297,5794,,URANA,URANA,FALSE,5.5,,5.5,Firewood,A,,
